Probe,Lab_Number,Prediction,Overall_Assessment_pred_file,Overall_Interpretation,Overall_Assessment_data
4,P2300350,1,1,"Lepkość poniżej zakresu typowego dla klasy SAE 40. Temperatura zapłonu na dopuszczalnym poziomie. Zawartość cząstek zużyciowych wzrosła lekko w porównaniu do poprzedniego badania, mieści się w dopuszczalnym zakresie. Zawartość krzemu i potasu utrzymuje się na stabilnym poziomie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Proszę zweryfikować wymagania producenta silnika dotyczące lepkości eksploatowanego oleju, w razie konieczności przeprowadzić wymianę oleju na świeży. W przypadku dalszego użytkowania oleju zalecana jest obserwacja zmian w kolejnym badaniu za 500mth.",WSKAZÓWKA
4,P2300697,1,1,"Oznaczona lepkość jest obniżona dla oleju klasy SAE 40. Temperatura zapłonu lekko obniżona. Liczba zasadowa w bezpiecznym zakresie. Własności dyspergujące w normie. Zawartość stałych zanieczyszczeń w normie. Nie stwierdzono przyrostu zawartości sodu. Zawartość wody w normie. Zawartość ołowiu lekko wzrosła w porównaniu do poprzednich analiz. Pozostałe oznaczone pierwiastki zużyciowe na dopuszczalnym poziomie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Zweryfikować zalecenia dot. dopuszczalnej lepkości, jeśli jest niezgodna to należy wymienić olej na świeży. Proszę obserwować zmiany w następnym badaniu. Zalecane jest przeprowadzenie następnej analizy po kolejnych 500mth.",WSKAZÓWKA
4,P2300698,2,2,"Lepkość jest lekko obniżona dla klasy SAE 40. Temperatura zapłonu znacznie obniżona. Liczba zasadowa w normie. Własności dyspergujące w normie. Zawartość stałych zanieczyszczeń w normie. Nie stwierdzono znaczącego przyrostu zawartości sodu. Zawartość wody w normie. Podwyższona zawartość miedzi - trend wzrostowy. Pozostałe oznaczone pierwiastki zużyciowe w normie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Ze względu na obniżoną temperaturę zapłonu zalecana jest wymiana oleju na świeży. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmian w następnej analizie. ",UWAGA
4,P2300699,2,2,"Oznaczone lepkość jest znacznie obniżona dla oleju klasy SAE 50. Temperatura zapłonu krytycznie obniżona. Liczba zasadowa na niższym poziomie w stosunku do poprzednich analiz. Własności dyspergujące w normie. Zawartość stałych zanieczyszczeń w normie. Nie stwierdzono znaczącego przyrostu zawartości sodu. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5 mikronów) w normie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Ze względu na obniżoną lepkość oraz temperaturę zapłonu zalecana jest wymiana oleju na świeży. Zalecane jest kontrola układu pod kątem przedostawania się paliwa do oleju. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących. Proszę obserwować zmian w następnej analizie. ",UWAGA
4,P2301941,0,1,"The content of enriching additives at the level expected for oil AeroShell W15W-50. The level of metalic wear products presented in the elemental analysis is in the normal range. High lead content is connected to aviation fuel and this is normal phenomena for aviation reciprocating engine, however the labeled content exceeds the expected one.
Conclusions and recommendations:

It is recommended to check the fuel system for possible leaks and excessive amounts of fuel entering the lubrication system. Please observe changes
in the next analysis according to the diagnostics program schedule. ",WSKAZÓWKA
4,P2300688,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2302094,1,2,"Oznaczona lepkość jest obniżona dla oleju klasy SAE 40. Temperatura zapłonu w normie. Liczba zasadowa w bezpiecznym zakresie. Własności dyspergujące w normie. Zawartość stałych zanieczyszczeń w normie. Nie stwierdzono przyrostu zawartości sodu, trend stabilny. Zawartość wody w normie. Zawartość ołowiu wzrosła w porównaniu do poprzednich analiz, trend rosnący. Pozostałe oznaczone pierwiastki zużyciowe na dopuszczalnym poziomie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Zalecam wymianę oleju na świeży. Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",UWAGA
4,P2300744,1,1,"Oznaczona lepkość w normie dla klasy SAE 40. Temperatura zapłonu w normie. Liczba zasadowa w normie. Własności dyspergujące w normie. Zawartość stałych zanieczyszczeń w normie. Zawartość wody wzrosła w stosunku do poprzedniej analizy, jednak mieści się w zakresie akceptowalnym. W porównaniu do poprzednich analiz nie stwierdzono przyrostu zawartości cząstek zużyciowych. Nie stwierdzono zanieczyszczenia oleju płynem chłodniczym.

Zalecenia i wnioski:

Ze względu na zawartość wody w zakresie granicznym zalecane jest przeprowadzenie kolejnego badania za około 250mth. Proszę obserwować zmiany w następnej analizie. ",WSKAZÓWKA
4,P2300885,1,0,"Oznaczona lepkość dla oleju klasy SAE 40 w normie. Zawartość stałych ciał obcych w normie. Temperatura zapłonu w normie. Liczba zasadowa w normie. Własności dyspergujące w normie. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków w normie. Indeks PQ (informujący o zawartości cząstek ferromagnetycznych bez względu na rozmiar) w normie.
Wnioski i zalecenia:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300906,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Zawartość stałych ciał obcych w normie. Liczba zasadowa na bezpiecznym poziomie. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.




Zalecenia i wnioski:




Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300746,0,1,"Oznaczona lepkość dla oleju klasy SAE 40 w normie. Temperatura zapłonu w normie. Zawartość miedzi lekko podwyższona w stosunku do przebiegu od wymiany, trend stabilny. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków w normie.

Wnioski i zalecenia:

W celu dalszego śledzenia trendu zawartości miedzi proszę przeprowadzić kolejne badanie po 500mth. Proszę obserwować zmiany w następnej analizie.",WSKAZÓWKA
4,P2300748,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:


Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300695,1,0,"Oznaczona lepkość na poziomie akceptowalnym. Własności dyspergujące na poziomie akceptowalnym. Temperatura zapłonu w normie. Indeks PQ w normie.

Wnioski i zalecenia:

Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmiany w następnej analizie. ",W NORMIE
4,P2300745,2,2,"Oznaczona lepkość jest obniżona dla oleju klasy SAE 40. Temperatura zapłonu znacznie obniżona. Liczba zasadowa w normie. Własności dyspergujące obniżone. Zawartość stałych zanieczyszczeń w normie. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5 mikronów) w normie. Nie stwierdzono zanieczyszczenia oleju płynem chłodniczym.

Zalecenia i wnioski:

Olej nie kwalifikuje się do dalszej eksploatacji - zalecana jest wymiana oleju na świeży. Skontrolować układ pod kątem przedostawania się paliwa do oleju. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących. Proszę obserwować zmiany w następnej analizie. ",UWAGA
4,P2300826,1,1,"Oznaczona lepkość jest obniżona dla oleju klasy SAE 40. Temperatura zapłonu lekko obniżona. Liczba zasadowa w bezpiecznym zakresie. Własności dyspergujące w normie. Zawartość stałych ciał obcych w normie. Nie stwierdzono przyrostu zawartości sodu. Zawartość wody w normie. Zawartość ołowiu w trendzie stabilnym. Pozostałe oznaczone pierwiastki zużyciowe na dopuszczalnym poziomie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Zweryfikować zalecenia dot. dopuszczalnej lepkości, jeśli jest niezgodna to należy wymienić olej na świeży. Proszę obserwować zmiany w następnym badaniu. Zalecane jest przeprowadzenie następnej analizy po kolejnych 500mth.",WSKAZÓWKA
4,P2300694,1,0,"Oznaczona lepkość na poziomie akceptowalnym. Własności dyspergujące na poziomie akceptowalnym. Temperatura zapłonu w normie. Indeks PQ lekko podniesiony.

Wnioski i zalecenia:

Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmiany w następnej analizie. ",W NORMIE
4,P2300504,1,0,"Oznaczona lepkość kinematyczna dla klasy SAE 40 w normie. Rezerwa alkaliczna (wzajemny stosunek liczby zasadowej do liczby kwasowej) w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5µm) w normie. Nie stwierdzono podwyższonej zawartości wody. Zawartość chloru poniżej poziomu oznaczalności.

Wnioski i zalecenia:

Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej. ",W NORMIE
4,P2300447,2,2,"Lepkość poniżej zakresu typowego dla klasy SAE 40. Temperatura zapłonu krytycznie obniżona. Na widmie w podczerwieni stwierdzono charakterystyczne zmiany świadczące o zanieczyszczeniu oleju płynem chłodniczym lub wodą oraz sugerujące wysoką zawartość oleju napędowego. Podwyższony poziom krzemu oraz potasu - prawdopodobne pochodzenie to zanieczyszczenie oleju płynem chłodniczym lub/i pyłem z otoczenia. Podwyższona zawartość ołowiu. Pozostałe oznaczone pierwiastki zużyciowe na dopuszczalnym poziomie.



Zalecenia i wnioski: 

Olej nie kwalifikuje się do dalszej eksploatacji. Wskazana jest kontrola układu chłodzenia silnika oraz układu doprowadzania paliwa. Proszę wykonać następne badanie po przeprowadzeniu działań korygujących.",UWAGA
4,P2300693,1,1,"Oznaczona lepkość lekko obniżona dla oleju klasy SAE 40. Własności dyspergujące w normie. Temperatura zapłonu w normie. Indeks PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w normie. Widmo IR wskazuje na podwyższoną zawartość sadzy.

Wnioski i zalecenia:

Widmo FTIR wskazuje na obciążenie sadzą. Zalecam wymianę wkładów filtracyjnych. Skontrolować wymagania producenta urządzenia dot. zakresu dopuszczalnej lepkości oleju, w razie potrzeby wymienić olej. Przeprowadzić kolejne badanie po wykonaniu zabiegów korygujących.",WSKAZÓWKA
4,P2300604,0,0,"Lepkość w normie dla oleju klasy SAE 50. Temperatura zapłonu w normie. Nie stwierdzono niepokojąco podwyższonej zawartości cząstek metalicznych. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Olej kwalifikuje się do dalszej eksploatacji. Proszę obserwować zmiany w kolejnym badaniu zgodnie z przyjętym harmonogramem diagnostyki. ",W NORMIE
4,P2300603,2,1,"Lepkość w zakresie typowym dla klasy SAE 30. Temperatura zapłonu lekko obniżona. Nie stwierdzono niepokojąco podwyższonej zawartości cząstek zużyciowych. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Skontrolować wymagania producenta urządzenia dot. zakresu dopuszczalnej lepkości oleju, w razie potrzeby wymienić olej. Proszę obserwować zmiany w następnej analizie, przeprowadzić kolejne badanie oleju za 500mth. ",WSKAZÓWKA
4,P2300749,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:


Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300832,0,0,"Oznaczona lepkość w normie dla klasy SAE 40. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:

Przeprowadzić kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300531,2,2,"Zawartość wykrytych metali zużyciowych wzrosła od poprzedniego badania - trend rosnący. Zawartość żelaza, chromu i miedzi lekko podwyższona - biorąc pod uwagę mały przebieg od wymiany oleju (10h), są to wartości alarmujące.

Zalecenia i wnioski:

Przeprowadzić inspekcję układu olejowego, ukierunkowaną na zużycie elementów zawierających w metalurgii wykryte metale.",UWAGA
4,P2300602,0,0,"Oznaczona lepkość wskazuje na olej klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczące o podwyższonej zawartości glikolu w dostarczonej próbce.

Wnioski i zalecenia:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300443,1,1,"Lepkość lekko poniżej zakresu typowego dla klasy SAE 40. Temperatura zapłonu na akceptowalnym poziomie. Zawartość cząstek zużyciowych mieści się w dopuszczalnym zakresie. Zawartość stałych zanieczyszczeń w normie. Zawartość wody w normie. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.

Zalecenia i wnioski:

Proszę zweryfikować wymagania producenta silnika dotyczące lepkości eksploatowanego oleju, w razie konieczności przeprowadzić wymianę oleju na świeży. W przypadku dalszego użytkowania oleju zalecana jest obserwacja zmian w kolejnym badaniu za 500mth.",WSKAZÓWKA
4,P2300527,1,1,"Lepkość w normie dla klasy SAE 40. Temperatura zapłonu w normie. Zawartość cząstek zużyciowych lekko podwyższona, nie stwierdzono znaczącego przyrostu w porównaniu do poprzednich analiz. Lekko podwyższona zawartość sodu, prawdopodobnie jest to pochodna zanieczyszczenia oleju wodą lub płynem chłodniczym lub zanieczyszczenie pyłem z otoczenia. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.



Zalecenia i wnioski:

Proszę obserwować zmiany w kolejnym badaniu nie później niż za 500mth.",WSKAZÓWKA
4,P2300907,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonuw normie. Zawartość cząstek zużyciowych mieści się w dopuszczalnym zakresie, nie stwierdzono znacznego przyrostu w porównaniu do poprzedniego badania - trend stabilny. Nie stwierdzono zanieczyszczenia oleju płynem chłodniczym.

Zalecenia i wnioski:

Oznaczone parametry mieszczą się w dopuszczalnych zakresach. Proszę obserwować zmiany w kolejnym badaniu zgodnie z przyjętym harmonogramem.",W NORMIE
4,P2300696,1,0,"Oznaczona lepkość na poziomie akceptowalnym. Własności dyspergujące na poziomie akceptowalnym. Temperatura zapłonu w normie. Indeks PQ w normie.

Wnioski i zalecenia:

Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmiany w następnej analizie. ",W NORMIE
4,P2300618,2,2,Oznaczona lepkość w normie dla oleju klasy SAE 20. Rezerwa alkaliczna na wyczerpaniu. Temperatura zapłonu w normie. Zawartość wody w normie. Zawartość żelaza lekko podniesiona. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie. Zalecam skrócić interwał pomiędzy wymianami oleju.,UWAGA
4,P2300905,0,0,"Oznaczona lepkość w dolnym zakresie normy dla oleju klasy SAE 40. Zawartość stałych ciał obcych w normie. Liczba zasadowa na bezpiecznym poziomie. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.




Zalecenia i wnioski:




Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300833,0,0,"Oznaczona lepkość dla oleju klasy SAE 40 w normie. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300747,1,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:


Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300835,2,2,"Lepkość w zakresie typowym dla klasy SAE 40. Temperatura zapłonu krytycznie obniżona. Krytycznie wysoki poziom potasu oraz sodu - wskazuje na zanieczyszczenie oleju płynem chłodniczym lub/i może być pochodną pozostałości detergentu z pojemnika, w którym próbka została dostarczona do badania. Na widmie w podczerwieni stwierdzono zmiany wskazujące na obecność płynu chłodniczego w próbce. Skokowy wzrost zawartości miedzi. Pozostałe oznaczone pierwiastki zużyciowe na dopuszczalnym poziomie.



Zalecenia i wnioski:

Sposób dostarczenia próbki (pojemnik po detergencie) mógł wpłynąć na wyniki przeprowadzonych analiz. Zalecany jest ponowny pobór próbki kontrolnej do dedykowanego do tego celu pojemnika. Jeżeli próbka jest reprezentatywna olej nie kwalifikuje się do dalszej eksploatacji. Wskazana jest kontrola stanu układu chłodzenia silnika. Zalecane jest wykonanie kolejnego badania po przeprowadzeniu działań korygujących.",UWAGA
4,P2300830,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Zawartość miedzi w zakresie akceptowalnym, trend stabilny. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2301031,1,0,"Lepkość w zakresie typowym dla klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5µm) mieści się w dopuszczalnych limitach. Indeks PQ (informujący o zawartości cząstek ferromagnetycznych bez względu na rozmiar) w normie.
Wnioski i zalecenia:
Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. ",W NORMIE
4,P2300825,1,1,"Oznaczona lepkość w normie dla klasy SAE 40. Temperatura zapłonu w normie. Zawartość sodu w trendzie stabilnym. W porównaniu do poprzednich badań nie stwierdzono znaczącego przyrostu zawartości cząstek zużyciowych. Widmo w podczerwieni FTIR wskazuje na podwyższoną zawartość sadzy.

Zalecenia i wnioski:

Zalecana jest wymiana wkładów filtracyjnych. Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",WSKAZÓWKA
4,P2301612,1,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Własności dyspergujące w normie. Temperatura zapłonu w normie. Zawartość wody w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarze <5 mikronów) w normie. Indeks PQ w normie.

Wnioski i zalecenia:

Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmiany w następnej analizie. ",W NORMIE
4,P2300904,0,0,"Oznaczona lepkość w dolnym zakresie normy dla oleju klasy SAE 40, trend malejący. Zawartość stałych ciał obcych w normie. Liczba zasadowa na bezpiecznym poziomie. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.




Zalecenia i wnioski:




Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300824,1,0,"Oznaczona lepkość w normie dla oleju klasy SAE 20. Temperatura zapłonu w normie. Zawartość wody w normie. Rezerwa alkaliczna uległa wyczerpaniu. Zawartość sodu i potasu podwyższona. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie. Indeks PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w normie.

Zalecam skrócenie interwału pomiędzy wymianami oleju. ",W NORMIE
4,P2301870,0,0,"Klasa czystości oleju w normie.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2302064,1,2,"Własności reologiczne (lepkość i wskaźnik lepkości) w normie. Rezerwa alkaliczna uległa wyczerpaniu. Parametr i-pH znacznie obniżony. Temperatura zapłonu obniżona. Zawartość wody w normie. Zawartość manganu podwyższona. Indeks PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w normie.

Zalecenia i wnioski:

Proszę skrócić interwał pomiędzy wymianami oleju.",UWAGA
4,P2301154,0,0,,W NORMIE
4,P2300891,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Zawartość miedzi w zakresie akceptowalnym, trend malejący. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2301155,0,0,,W NORMIE
4,P2300883,1,0,"Oznaczona lepkość wskazuje na olej klasy SAE 40. Temperatura zapłonu lekko obniżona. Liczba zasadowa w normie. Własności dyspergujące w normie. Zawartość stałych ciał obcych w normie. Zawartość wody w normie. W porównaniu do poprzednich analiz nie stwierdzono przyrostu zawartości cząstek zużyciowych. Nie stwierdzono zanieczyszczenia oleju płynem chłodniczym.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300834,0,0,"Oznaczona lepkość dla oleju klasy SAE 40 w normie. Zawartość stałych ciał obcych w normie. Liczba zasadowa w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.


Zalecenia i wnioski:




Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2301153,0,0,"The rheological properties indicate good correlation with the data presented by the oil manufacturer. The acid number is in the normal range (it does not show the advanced oil ageing). Water content is in the normal range. No significant oil contamination or wear values have been detected. 



The measured parameters indicate good oil condition. Please observe changes in the next analysis according to the diagnostic program schedule.  ",W NORMIE
4,P2301343,1,1,"Oznaczona lepkość w zakresie granicznym dla oleju klasy SAE 40. Temperatura zapłonu w normie. Poziom miedzi lekko. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Wnioski i zalecenia: 

Proszę obserwować zmiany w następnej analizie.Proszę przeprowadzić następne badanie za 500 mth.",WSKAZÓWKA
4,P2300942,1,1,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Liczba zasadowa obniżona. Własności dyspergujące w normie. Zawartość stałych zanieczyszczeń w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie, obserwowany wzrost z porównaniu do poprzedniego badania. Zawartość wody w normie. Indeks PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w normie. Widmio w podczerwieni FTIR wskazuje na podwyższoną zawartość sadzy.

Zalecenia i wnioski:

Ze względu na podwyższoną zawartość sadzy zalecana jest wymiana filtrów olejowych. Proszę obserwować zmiany w następnej analizie, przeprowadzić kolejne badanie oleju za 500h pracy.",WSKAZÓWKA
4,P2300892,0,0,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Zawartość miedzi w zakresie akceptowalnym, trend stabilny. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300889,1,1,"Oznaczona lepkość w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Zawartość miedzi lekko podniesiona. Poziom pozostałych metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Wnioski i zalecenia:

W celu obserwacji zmian trendu zawartości miedzi zaleca się przeprowadzić kolejne badanie za około 500mth. ",WSKAZÓWKA
4,P2301611,0,0,"Lepkość w zakresie akceptowalnym dla klasy SAE 40. Temperatura zapłonu w normie. Zawartość cząstek zużyciowych mieści się w dopuszczalnym zakresie, nie stwierdzono znaczącego przyrostu w porównaniu do poprzedniej analizy. Na widmie w podczerwieni nie stwierdzono charakterystycznych zmian świadczących o zanieczyszczeniu oleju płynem chłodniczym.



Zalecenia i wnioski:

Oznaczone parametry mieszczą się w dopuszczalnych zakresach. Proszę obserwować zmiany w kolejnym badaniu zgodnie z przyjętym harmonogramem diagnostyki.",W NORMIE
4,P2300946,0,0,"Oznaczona lepkość kinematyczna w normie dla oleju klasy SAE 40. Temperatura zapłonu w normie. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.

Wnioski i zalecenia:




Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej. Proszę obserwować zmiany w następnej analizie.",W NORMIE
4,P2301265,0,0,"Oznaczona lepkość dla oleju klasy SAE 40 w normie. Temperatura zapłonu w normie. Zawartość miedzi na poziomie akceptowalnym. Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki o rozmiarach <5um) w normie.




Wnioski i zalecenia:




Proszę obserwować zmiany w następnej analizie. Przeprowadzić kolejne badanie zgodnie z harmonogramem diagnostyki olejowej.",W NORMIE
4,P2300881,1,1,"Zawartość dodatków uszlachetniających nieco odbiega od posiadanej przez nas referencji świeżego oleju AeroShell W15W-50. Podwyższone zawartości żelaza, chromu i glinu. Wysoki poziom ołowiu pochodzi z paliwa lotniczego i jest sytuacją normalną dla tego typu tłokowych silników lotniczych. 

Wnioski i zalecenia:

W porównaniu do poprzedniego badania wyniki wykazują podobny poziom. Proszę obserwować zmiany trendu w kolejnym badaniu zgodnie z harmonogramem diagnostyki olejowej.",WSKAZÓWKA
